"","PN","SC","PP","sup"
"151","P.N.Radal 7 Tazas","4.5 2070",50,400
"152","P.N.Radal 7 Tazas","4.5 2070",75,475
"153","P.N.Radal 7 Tazas","4.5 2070",100,150
"154","P.N.Radal 7 Tazas","8.5 2050",25,425
"155","P.N.Radal 7 Tazas","8.5 2050",50,275
"156","P.N.Radal 7 Tazas","8.5 2050",75,300
"157","P.N.Radal 7 Tazas","8.5 2050",100,475
"158","P.N.Radal 7 Tazas","8.5 2070",25,975
"159","P.N.Radal 7 Tazas","8.5 2070",50,350
"160","P.N.Radal 7 Tazas","8.5 2070",75,125
"161","P.N.Radal 7 Tazas","8.5 2070",100,25
"162","P.N.Tolhuaca","actual",25,600
"163","P.N.Tolhuaca","actual",50,25
"164","P.N.Tolhuaca","actual",75,50
"165","P.N.Tolhuaca","actual",100,1775
"166","P.N.Tolhuaca","4.5 2050",25,2450
"167","P.N.Tolhuaca","4.5 2050",50,0
"168","P.N.Tolhuaca","4.5 2050",75,0
"169","P.N.Tolhuaca","4.5 2050",100,0
"170","P.N.Tolhuaca","4.5 2070",25,2450
"171","P.N.Tolhuaca","4.5 2070",50,0
"172","P.N.Tolhuaca","4.5 2070",75,0
"173","P.N.Tolhuaca","4.5 2070",100,0
"174","P.N.Tolhuaca","8.5 2050",25,2375
"175","P.N.Tolhuaca","8.5 2050",50,75
"176","P.N.Tolhuaca","8.5 2050",75,0
"177","P.N.Tolhuaca","8.5 2050",100,0
"178","P.N.Tolhuaca","8.5 2070",25,2375
"179","P.N.Tolhuaca","8.5 2070",50,75
"180","P.N.Tolhuaca","8.5 2070",75,0
"181","P.N.Tolhuaca","8.5 2070",100,0
"182","P.N.La Campana","actual",25,2200
"183","P.N.La Campana","actual",50,250
"184","P.N.La Campana","actual",75,150
"185","P.N.La Campana","actual",100,75
"186","P.N.La Campana","4.5 2050",25,2675
"187","P.N.La Campana","4.5 2050",50,0
"188","P.N.La Campana","4.5 2050",75,0
"189","P.N.La Campana","4.5 2050",100,0
"190","P.N.La Campana","4.5 2070",25,2675
"191","P.N.La Campana","4.5 2070",50,0
"192","P.N.La Campana","4.5 2070",75,0
"193","P.N.La Campana","4.5 2070",100,0
"194","P.N.La Campana","8.5 2050",25,2675
"195","P.N.La Campana","8.5 2050",50,0
"196","P.N.La Campana","8.5 2050",75,0
"197","P.N.La Campana","8.5 2050",100,0
"198","P.N.La Campana","8.5 2070",25,2675
"199","P.N.La Campana","8.5 2070",50,0
"200","P.N.La Campana","8.5 2070",75,0
"201","P.N.La Campana","8.5 2070",100,0
"202","P.N.Chiloé","actual",25,15500
"203","P.N.Chiloé","actual",50,150
"204","P.N.Chiloé","actual",75,100
"205","P.N.Chiloé","actual",100,100
"206","P.N.Chiloé","4.5 2050",25,15850
"207","P.N.Chiloé","4.5 2050",50,0
"208","P.N.Chiloé","4.5 2050",75,0
"209","P.N.Chiloé","4.5 2050",100,0
"210","P.N.Chiloé","4.5 2070",25,15850
"211","P.N.Chiloé","4.5 2070",50,0
"212","P.N.Chiloé","4.5 2070",75,0
"213","P.N.Chiloé","4.5 2070",100,0
"214","P.N.Chiloé","8.5 2050",25,15850
"215","P.N.Chiloé","8.5 2050",50,0
"216","P.N.Chiloé","8.5 2050",75,0
"217","P.N.Chiloé","8.5 2050",100,0
"218","P.N.Chiloé","8.5 2070",25,15800
"219","P.N.Chiloé","8.5 2070",50,50
"220","P.N.Chiloé","8.5 2070",75,0
"221","P.N.Chiloé","8.5 2070",100,0
"222","P.N.Huerquehue","actual",25,4550
"223","P.N.Huerquehue","actual",50,25
"224","P.N.Huerquehue","actual",75,0
"225","P.N.Huerquehue","actual",100,0
"226","P.N.Huerquehue","4.5 2050",25,4575
"227","P.N.Huerquehue","4.5 2050",50,0
"228","P.N.Huerquehue","4.5 2050",75,0
"229","P.N.Huerquehue","4.5 2050",100,0
"230","P.N.Huerquehue","4.5 2070",25,4575
"231","P.N.Huerquehue","4.5 2070",50,0
"232","P.N.Huerquehue","4.5 2070",75,0
"233","P.N.Huerquehue","4.5 2070",100,0
"234","P.N.Huerquehue","8.5 2050",25,4575
"235","P.N.Huerquehue","8.5 2050",50,0
"236","P.N.Huerquehue","8.5 2050",75,0
"237","P.N.Huerquehue","8.5 2050",100,0
"238","P.N.Huerquehue","8.5 2070",25,4575
"239","P.N.Huerquehue","8.5 2070",50,0
"240","P.N.Huerquehue","8.5 2070",75,0
"241","P.N.Huerquehue","8.5 2070",100,0
"242","P.N.Conguillío","actual",25,9450
"243","P.N.Conguillío","actual",50,450
"244","P.N.Conguillío","actual",75,600
"245","P.N.Conguillío","actual",100,11375
"246","P.N.Conguillío","4.5 2050",25,21475
"247","P.N.Conguillío","4.5 2050",50,325
"248","P.N.Conguillío","4.5 2050",75,75
"249","P.N.Conguillío","4.5 2050",100,0
"250","P.N.Conguillío","4.5 2070",25,21600
"251","P.N.Conguillío","4.5 2070",50,200
"252","P.N.Conguillío","4.5 2070",75,75
"253","P.N.Conguillío","4.5 2070",100,0
"254","P.N.Conguillío","8.5 2050",25,21850
"255","P.N.Conguillío","8.5 2050",50,25
"256","P.N.Conguillío","8.5 2050",75,0
"257","P.N.Conguillío","8.5 2050",100,0
"258","P.N.Conguillío","8.5 2070",25,21750
"259","P.N.Conguillío","8.5 2070",50,100
"260","P.N.Conguillío","8.5 2070",75,25
"261","P.N.Conguillío","8.5 2070",100,0
"262","P.N.Corcovado","actual",25,116600
"263","P.N.Corcovado","actual",50,125
"264","P.N.Corcovado","actual",75,25
"265","P.N.Corcovado","actual",100,125
"266","P.N.Corcovado","4.5 2050",25,116825
"267","P.N.Corcovado","4.5 2050",50,50
"268","P.N.Corcovado","4.5 2050",75,0
"269","P.N.Corcovado","4.5 2050",100,0
"270","P.N.Corcovado","4.5 2070",25,116975
"271","P.N.Corcovado","4.5 2070",50,0
"272","P.N.Corcovado","4.5 2070",75,0
"273","P.N.Corcovado","4.5 2070",100,0
"274","P.N.Corcovado","8.5 2050",25,116775
"275","P.N.Corcovado","8.5 2050",50,100
"276","P.N.Corcovado","8.5 2050",75,0
"277","P.N.Corcovado","8.5 2050",100,0
"278","P.N.Corcovado","8.5 2070",25,116975
"279","P.N.Corcovado","8.5 2070",50,0
"280","P.N.Corcovado","8.5 2070",75,0
"281","P.N.Corcovado","8.5 2070",100,0
"282","P.N.Alerce Costero","actual",25,9475
"283","P.N.Alerce Costero","actual",50,0
"284","P.N.Alerce Costero","actual",75,0
"285","P.N.Alerce Costero","actual",100,0
"286","P.N.Alerce Costero","4.5 2050",25,9025
"287","P.N.Alerce Costero","4.5 2050",50,350
"288","P.N.Alerce Costero","4.5 2050",75,100
"289","P.N.Alerce Costero","4.5 2050",100,0
"290","P.N.Alerce Costero","4.5 2070",25,8800
"291","P.N.Alerce Costero","4.5 2070",50,525
"292","P.N.Alerce Costero","4.5 2070",75,75
"293","P.N.Alerce Costero","4.5 2070",100,75
"294","P.N.Alerce Costero","8.5 2050",25,8625
"295","P.N.Alerce Costero","8.5 2050",50,675
"296","P.N.Alerce Costero","8.5 2050",75,75
"297","P.N.Alerce Costero","8.5 2050",100,100
"298","P.N.Alerce Costero","8.5 2070",25,7175
"299","P.N.Alerce Costero","8.5 2070",50,1125
"300","P.N.Alerce Costero","8.5 2070",75,775
"301","P.N.Alerce Costero","8.5 2070",100,400
"302","Parque Pumalín","actual",25,90025
"303","Parque Pumalín","actual",50,2375
"304","Parque Pumalín","actual",75,1950
"305","Parque Pumalín","actual",100,16425
"306","Parque Pumalín","4.5 2050",25,110750
"307","Parque Pumalín","4.5 2050",50,25
"308","Parque Pumalín","4.5 2050",75,0
"309","Parque Pumalín","4.5 2050",100,0
"310","Parque Pumalín","4.5 2070",25,110950
"311","Parque Pumalín","4.5 2070",50,0
"312","Parque Pumalín","4.5 2070",75,0
"313","Parque Pumalín","4.5 2070",100,0
"314","Parque Pumalín","8.5 2050",25,110750
"315","Parque Pumalín","8.5 2050",50,25
"316","Parque Pumalín","8.5 2050",75,0
"317","Parque Pumalín","8.5 2050",100,0
"318","Parque Pumalín","8.5 2070",25,109575
"319","Parque Pumalín","8.5 2070",50,1375
"320","Parque Pumalín","8.5 2070",75,0
"321","Parque Pumalín","8.5 2070",100,0
"322","P.N.Nahuelbuta","actual",25,2575
"323","P.N.Nahuelbuta","actual",50,0
"324","P.N.Nahuelbuta","actual",75,0
"325","P.N.Nahuelbuta","actual",100,0
"326","P.N.Nahuelbuta","4.5 2050",25,2575
"327","P.N.Nahuelbuta","4.5 2050",50,0
"328","P.N.Nahuelbuta","4.5 2050",75,0
"329","P.N.Nahuelbuta","4.5 2050",100,0
"330","P.N.Nahuelbuta","4.5 2070",25,2575
"331","P.N.Nahuelbuta","4.5 2070",50,0
"332","P.N.Nahuelbuta","4.5 2070",75,0
"333","P.N.Nahuelbuta","4.5 2070",100,0
"334","P.N.Nahuelbuta","8.5 2050",25,2575
"335","P.N.Nahuelbuta","8.5 2050",50,0
"336","P.N.Nahuelbuta","8.5 2050",75,0
"337","P.N.Nahuelbuta","8.5 2050",100,0
"338","P.N.Nahuelbuta","8.5 2070",25,2575
"339","P.N.Nahuelbuta","8.5 2070",50,0
"340","P.N.Nahuelbuta","8.5 2070",75,0
"341","P.N.Nahuelbuta","8.5 2070",100,0
